seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	V11	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	SYMBOL
chr17	68202022	68202421	400	*	401	*	6.87588761954141	7.50474469737795	4.9951633796581	2.06756385302794	1.04021129356122e-11	2.0899736180906e-08	Distal Intergenic	17	68165676	68176183	10508	1	3759	uc002jir.3	36346	KCNJ2
chr2	120040854	120041253	400	*	401	*	6.87311840463925	7.52973445244444	4.76215462792982	2.17251453672995	1.65877931057002e-11	3.05505679524234e-08	Distal Intergenic	2	119981384	120023227	41844	1	55240	uc010fle.3	59470	STEAP3
chr12	31451955	31452354	400	*	401	*	5.6075532740977	6.29266923191361	3.20826749632948	2.30892224802321	2.16288541764866e-11	3.67707158580407e-08	Promoter	12	31433520	31451455	17936	2	58516	uc001rkc.3	-500	SINHCAF
chr11	34607457	34607856	400	*	401	*	6.33612453380214	7.00623101607385	4.09653201319944	2.15579888163321	2.72681823261599e-11	4.30467212564614e-08	Distal Intergenic	11	34642588	34684834	42247	1	26298	uc001mvr.2	-34732	EHF
chr2	9401080	9401479	400	*	401	*	5.94064419036838	6.55691650972293	4.15205164527477	1.97866549179622	3.00287206144016e-11	4.42443169532593e-08	Intron (uc002qzh.2/8853, intron 1 of 27)	2	9346894	9545812	198919	1	8853	uc002qzi.2	54186	ASAP2
chr2	102212531	102212930	400	*	401	*	5.39247626079216	6.09675140119825	2.75670257152568	2.38095777876605	4.94275766781445e-11	6.82749295102295e-08	Distal Intergenic	2	102314165	102511152	196988	1	9448	uc002tbc.3	-101235	MAP4K4
chr14	103726523	103726922	400	*	401	*	5.91827665244231	6.60013098548726	3.55537330728628	2.26558994411904	6.24689437307171e-11	8.12133014936811e-08	Distal Intergenic	14	103653558	103655365	1808	2	100131366	uc001ymn.3	-71158	LINC00605
chr17	6658947	6659346	400	*	401	*	6.77808674856755	7.33441021107783	5.35395668537929	1.72077922706053	9.23369823826432e-11	1.13374424868822e-07	Promoter	17	6659156	6675247	16092	1	54739	uc002gdm.1	0	XAF1
chr15	73942620	73943019	400	*	401	*	6.01671028943327	6.62776625999921	4.26442394710117	1.936193222587	9.99139228464111e-11	1.16220926780449e-07	Distal Intergenic	15	73852344	73925753	73410	2	27020	uc010ula.2	-16867	NPTN
chr17	38171509	38171908	400	*	401	*	5.69873967940972	6.33562227825636	3.75557821444614	2.03106514905772	1.66850562249806e-10	1.75598298870618e-07	Promoter	17	38171614	38174066	2453	1	1440	uc002hto.3	0	CSF3
chr20	3692292	3692691	400	*	401	*	5.99423006298103	6.61233657677449	4.19261920667801	1.95993092359755	1.97929763343844e-10	1.98838440893741e-07	Distal Intergenic	20	3667617	3687775	20159	2	6614	uc002wja.3	-4517	SIGLEC1
chr10	6092792	6093191	400	*	401	*	6.57118207029981	7.16342935524907	4.94172107180451	1.82723533090058	2.10416445944315e-10	2.0219190747023e-07	Intron (uc001iiz.2/3559, intron 1 of 7)	10	6052657	6104333	51677	2	3559	uc001iiz.2	11142	IL2RA
chr17	40264265	40264664	400	*	401	*	7.15232962421534	7.69749952844037	5.78550508742284	1.66535370301809	2.95829917530623e-10	2.72422375306013e-07	Promoter	17	40253422	40264295	10874	2	79132	uc002hyv.3	0	DHX58
chr10	91087080	91087479	400	*	401	*	6.18320837171103	6.79566910691468	4.42124713824841	1.92855219175654	3.53723667414793e-10	3.12705870941373e-07	Promoter	10	91087602	91100725	13124	1	3437	uc001kgf.3	-123	IFIT3
chr17	38698459	38698858	400	*	401	*	5.28247895720149	5.95891783255896	2.97785579023167	2.22560374896076	3.83183059043971e-10	3.25720337997339e-07	Distal Intergenic	17	38710022	38721736	11715	2	1236	uc002huw.3	22878	CCR7
chr8	48438100	48438499	400	*	401	*	6.28901967931847	6.88460087350911	4.63864942384661	1.85783016038922	4.4400461001205e-10	3.63442440217642e-07	Intron (uc011lcz.2/23514, intron 7 of 7)	8	48352885	48648563	295679	1	23514	uc010lxt.3	85215	SPIDR
chr10	89521961	89522360	400	*	401	*	6.17329734007781	6.75647937515157	4.59897173488822	1.81980173316648	6.16248762083255e-10	4.86418353242929e-07	Intron (uc010qmr.1/84896, intron 5 of 6)	10	89512875	89552512	39638	2	84896	uc010qmr.1	30152	ATAD1
chr8	96247611	96248010	400	*	401	*	5.39443864781884	6.06926178013019	3.10671641181855	2.13634524818215	8.75325721748803e-10	6.67088750909321e-07	Distal Intergenic	8	96219235	96228602	9368	2	619344	uc031tbt.1	-19009	LINC01298
chr7	20203533	20203932	400	*	401	*	6.30392980115371	6.94067308738148	4.36187856312999	1.99767275677196	1.03502638044982e-09	7.62503934477379e-07	5' UTR	7	20181539	20193154	11616	1	100874041	uc031swo.1	21994	MACC1-AS1
chr3	188498136	188498535	400	*	401	*	6.87651952467741	7.45551691639002	5.32683883275885	1.72971161482823	1.14908201605697e-09	8.19221343125005e-07	Intron (uc011bsg.2/4026, intron 7 of 9)	3	188665003	189041271	376269	1	285386	uc003frv.2	-166468	TPRG1
chr4	84030878	84031277	400	*	401	*	6.99640369127771	7.51054957449944	5.77590880523217	1.52646279265018	1.31412983213535e-09	9.07611981875732e-07	Promoter	4	84011211	84031012	19802	2	51316	uc003hoe.3	0	PLAC8
chr1	89739415	89739814	400	*	401	*	6.78308361874817	7.33968695042733	5.35748011170223	1.68380858564844	1.77926581698727e-09	1.19162284306775e-06	Promoter	1	89724634	89738544	13911	2	115362	uc001dnd.3	-871	GBP5
chr15	70433288	70433687	400	*	401	*	6.45180095754444	7.00859565507204	5.02518892361063	1.64880923930188	2.05867288896281e-09	1.33819792702844e-06	Distal Intergenic	15	70340543	70390256	49714	2	7090	uc010bil.1	-43032	TLE3
chr16	11301035	11301434	400	*	401	*	6.15400699855414	6.71894790129375	4.68366786555971	1.67252901350587	3.01661807610053e-09	1.85195211388605e-06	Distal Intergenic	16	11343506	11445617	102112	1	116028	uc002daq.1	-42072	RMI2
chr9	90078710	90079109	400	*	401	*	5.81757651279902	6.44013134085467	3.9838260967973	1.93892419217056	3.66278672517365e-09	2.08930186931815e-06	Distal Intergenic	9	90112658	90323549	210892	1	1612	uc004apc.3	-33549	DAPK1
chr9	114775217	114775616	400	*	401	*	6.80818476763251	7.36286452457208	5.39267244778987	1.59721921538052	3.68683647361693e-09	2.08930186931815e-06	Intron (uc022bma.1/100422990, intron 2 of 2)	9	114694380	114694449	70	1	100616114	uc022blz.1	80837	MIR4668
chr10	112085232	112085631	400	*	401	*	5.27386851201981	5.93207656731861	3.14836909980552	2.07840688798816	3.94622523810908e-09	2.18038809968622e-06	Distal Intergenic	10	112052798	112064707	11910	2	10285	uc001kzc.4	-20525	SMNDC1
chr4	103265728	103266127	400	*	401	*	6.99114476958596	7.52521534708183	5.67875968994338	1.60504396757614	4.65327455198306e-09	2.5083419725214e-06	Promoter	4	103182821	103266348	83528	2	64116	uc003hwb.1	221	SLC39A8
chr6	20498386	20498785	400	*	401	*	6.0019476038784	6.58204807754313	4.44581811371184	1.745650924214	5.34966377747891e-09	2.81506950347765e-06	Distal Intergenic	6	20534688	20559903	25216	1	54901	uc003ndb.1	-35903	CDKAL1
chr1	183850490	183850889	400	*	401	*	5.08150156843032	5.78466031843693	2.46071725717811	2.17525370294238	5.95420156255049e-09	3.06032113334717e-06	Intron (uc010pof.1/23179, intron 2 of 11)	1	183904966	183915752	10787	2	23127	uc001gqp.3	64863	COLGALT2
chr4	103332788	103333187	400	*	401	*	6.42958878395287	7.03466761922872	4.71765596342914	1.7729960670552	6.48468071559235e-09	3.22181501114074e-06	Distal Intergenic	4	103182821	103266655	83835	2	64116	uc003hwc.2	-66133	SLC39A8
chr4	185818437	185818836	400	*	401	*	7.34573201754479	7.87718650170551	6.04582529111471	1.58769532947062	6.55995997924678e-09	3.22181501114074e-06	Exon (uc003iwz.1/100506229, exon 2 of 3)	4	185814154	185820615	6462	2	100506229	uc003iwz.1	1779	LINC01093
chr21	46460715	46461114	400	*	401	*	6.00958825425717	6.58429757492648	4.48466014062227	1.7322155720617	6.88767084973904e-09	3.30922637934962e-06	Distal Intergenic	21	46490871	46493126	2256	2	728039	uc011afn.2	32012	SSR4P1
chr1	221967230	221967629	400	*	401	*	5.97296219780766	6.58970109800328	4.18107075563672	1.89159436546181	8.1731297409936e-09	3.84328383841914e-06	Distal Intergenic	1	221874764	221915516	40753	2	11221	uc001hmz.2	-51714	DUSP10
chr8	104091204	104091603	400	*	401	*	5.60832289582244	6.19932554571011	3.98657860913483	1.77658381304072	1.28230301614099e-08	5.78463357211609e-06	Distal Intergenic	8	104033291	104085285	51995	1	528	uc011lhl.2	57913	ATP6V1C1
chr19	6801288	6801687	400	*	401	*	7.17370720953506	7.70278782555317	5.88501147959314	1.51075045758477	1.28250778260571e-08	5.78463357211609e-06	Intron (uc002mfu.2/7409, intron 1 of 26)	19	6784129	6857377	73249	1	7409	uc002mfv.2	17159	VAV1
chr4	40244128	40244527	400	*	401	*	6.366883494804	6.92307418621863	4.94345181369534	1.63178093834721	1.55846384179449e-08	6.75364889558823e-06	5' UTR	4	40198527	40246281	47755	1	399	uc003guz.2	45601	RHOH
chr5	35785406	35785805	400	*	401	*	5.29729932018085	5.93935114800693	3.31224855047536	1.94903150571634	1.59891436958754e-08	6.79569355427966e-06	Intron (uc003jjo.3/79925, intron 30 of 36)	5	35773995	35814713	40719	1	79925	uc003jjr.3	11411	SPEF2
chr17	28706545	28706944	400	*	401	*	7.18624433278134	7.71541293109822	5.89713497025247	1.52016148924928	1.97814990823322e-08	8.24888511733251e-06	Promoter	17	28707496	28796675	89180	1	1362	uc010wbo.2	-552	CPD
chr17	68310374	68310773	400	*	401	*	6.18913564376006	6.72468906916117	4.86961924252471	1.55355831948732	2.17153381347193e-08	8.88760533547094e-06	Distal Intergenic	17	68165676	68176183	10508	1	3759	uc002jir.3	144698	KCNJ2
chr18	60173713	60174112	400	*	401	*	6.54942438550369	7.09723428326349	5.16927967031113	1.60064285718822	2.36868324557369e-08	9.5182306200771e-06	Distal Intergenic	18	60190658	60245818	55161	1	54877	uc002lip.4	-16546	ZCCHC2
chr18	8610019	8610418	400	*	401	*	6.9801271533654	7.50125102627977	5.72825516427257	1.50612209079836	2.70941324869333e-08	1.06929896802449e-05	Promoter	18	8609443	8639380	29938	1	201475	uc002knp.3	576	RAB12
chr5	10632396	10632795	400	*	401	*	6.19458332602763	6.72428019389223	4.90298737311422	1.56313751339105	2.78541748870721e-08	1.08000898101611e-05	Intron (uc021xwp.1/651746, intron 2 of 3)	5	10564435	10657928	93494	1	651746	uc021xwp.1	67961	ANKRD33B
chr3	59360431	59360830	400	*	401	*	6.43778394532974	6.98342989081542	5.06856839244575	1.59095006440209	3.01143227015394e-08	1.14751145866676e-05	Distal Intergenic	3	58873072	59035758	162687	2	200844	uc011bfg.1	-324673	CFAP20DC
chr16	56644353	56644752	400	*	401	*	6.16455358549056	6.72382675014269	4.72480335017235	1.60785918704314	3.42898209206634e-08	1.28447344435183e-05	Intron (uc002eji.3/4489, intron 2 of 2)	16	56642478	56643409	932	1	4502	uc002ejh.3	1875	MT2A
chr11	8349822	8350221	400	*	401	*	5.94976609533306	6.50616951102511	4.52521528055433	1.62047335642335	4.00762496629188e-08	1.47620865633361e-05	Distal Intergenic	11	8245851	8290182	44332	2	4004	uc001mgh.2	-59640	LMO1
chr10	98477260	98477659	400	*	401	*	6.4839429339986	7.08873745535172	4.773897669902	1.74356367283064	4.70138012729479e-08	1.70336397038266e-05	Intron (uc001kmq.3/118788, intron 1 of 16)	10	98353069	98480279	127211	2	118788	uc001kmq.3	2620	PIK3AP1
chr1	184191427	184191826	400	*	401	*	6.07266765948441	6.62633269614619	4.66244493997285	1.60633360007939	5.00392806842695e-08	1.78373893935974e-05	Distal Intergenic	1	184356150	184598155	242006	1	81563	uc001gqv.1	-164324	C1orf21
chr2	36683511	36683910	400	*	401	*	6.32047433974898	6.88544507229842	4.84997216509343	1.61505513583229	6.16504796837537e-08	2.16275754204863e-05	Intron (uc002rpd.3/51232, intron 4 of 16)	2	36583370	36778278	194909	1	51232	uc002rpd.3	100141	CRIM1
chr19	54829945	54830344	400	*	401	*	6.52885312444615	7.07052954986699	5.17943129477166	1.55005956496133	7.1459436844656e-08	2.46455698389218e-05	Distal Intergenic	19	54822435	54824409	1975	2	353514	uc002qfh.1	-5536	LILRA5
chr8	96100305	96100704	400	*	401	*	5.97837914637476	6.61201811697133	4.06082080705123	1.84831933670251	8.48592704346349e-08	2.73622729339742e-05	Distal Intergenic	8	96085139	96085224	86	2	100500907	uc022ayi.1	-15081	MIR3150B
chr8	80987322	80987721	400	*	401	*	4.60770398792429	5.32030673295048	1.85451613390073	2.0851930907725	8.5425855501752e-08	2.73622729339742e-05	Intron (uc010lzr.3/7163, intron 1 of 7)	8	80831095	80993010	161916	2	7163	uc010lzr.3	5289	TPD52
chr9	32396217	32396616	400	*	401	*	6.37937955354804	6.904543122157	5.1089547420719	1.50038047962664	8.71875941518503e-08	2.75276145478578e-05	Intron (uc010mjh.1/48, intron 1 of 16)	9	32384601	32450832	66232	1	48	uc003zqy.4	11616	ACO1
chr11	95779103	95779502	400	*	401	*	6.0220178528561	6.61873804992311	4.36442288212929	1.70649359747938	1.27118675026581e-07	3.84856142022256e-05	Intron (uc001pfw.1/84441, intron 2 of 4)	11	95566044	95657371	91328	2	8898	uc001pfv.3	-121732	MTMR2
chr6	106414641	106415040	400	*	401	*	5.37500402110353	6.03452057478613	3.23743470609845	1.90088726758	1.31247620507225e-07	3.91986981193267e-05	Distal Intergenic	6	106534195	106557814	23620	1	639	uc003prd.2	-119155	PRDM1
chr9	136342114	136342513	400	*	401	*	6.75020822101255	7.31583399885644	5.27612024132965	1.65460382233185	1.45969997548758e-07	4.28732756571967e-05	Exon (uc004cee.3/11182, exon 3 of 10)	9	136336216	136344276	8061	2	11182	uc004cee.3	1763	SLC2A6
chr13	52392988	52393387	400	*	401	*	5.33235809103476	5.94613668851241	3.56125246184305	1.76758228055836	1.47430837968732e-07	4.28732756571967e-05	Intron (uc001vft.1/283521, intron 2 of 2)	13	52344913	52378298	33386	2	79758	uc001vfs.2	-14690	DHRS12
chr7	148278345	148278744	400	*	401	*	4.84045969399687	5.51883638178192	2.51527657125077	1.98188760982719	1.56087927383226e-07	4.42269138858548e-05	Distal Intergenic	7	148287657	148312952	25296	1	202865	uc003wew.3	-8913	C7orf33
chr5	54129263	54129662	400	*	401	*	7.30048890655227	7.84989125472247	5.91223764037693	1.57262383295576	1.70041524185594e-07	4.75707307091875e-05	Distal Intergenic	5	54273695	54281414	7720	2	11082	uc003jpk.3	151752	ESM1
chr12	113344801	113345200	400	*	401	*	5.6441542335951	6.21899180785433	4.11849297177496	1.6403030272248	2.10992214669269e-07	5.75696164988334e-05	Promoter	12	113344739	113369990	25252	1	4938	uc009zwf.3	62	OAS1
chr17	68164937	68165336	400	*	401	*	6.68814154389169	7.16876985911314	5.60764189098016	1.34448154242474	2.15042522083863e-07	5.79592046411641e-05	Promoter	17	68164814	68176183	11370	1	3759	uc010dfg.3	123	KCNJ2
chr2	120961075	120961474	400	*	401	*	6.37359840964283	6.86634266647765	5.24441612787158	1.36425962161555	2.28584265503945e-07	6.08667572518397e-05	Distal Intergenic	2	120975047	120980984	5938	2	79134	uc002tmj.2	19510	TMEM185B
chr2	143809261	143809660	400	*	401	*	5.76150434236403	6.35734867233682	4.1094687287507	1.6410639799258	2.3288986511793e-07	6.12749870115638e-05	Distal Intergenic	2	143886899	144194926	308028	1	55843	uc010zbl.1	-77239	ARHGAP15
chr5	16624810	16625209	400	*	401	*	5.03532225396594	5.68528788054626	2.98337833671893	1.88234205255335	2.78793769246757e-07	6.92316976867706e-05	Distal Intergenic	5	16473147	16617167	144021	2	54463	uc003jfs.3	-7643	RETREG1
chr12	51419173	51419572	400	*	401	*	7.08091773894305	7.6356180754279	5.66529790121758	1.59620109456853	2.86159493305998e-07	6.9665620694228e-05	Promoter	12	51379775	51419924	40150	2	4891	uc001rxh.2	352	SLC11A2
chr10	30870263	30870662	400	*	401	*	5.62437846643556	6.26129935203252	3.68091171356008	1.81065293579977	2.86845458720182e-07	6.9665620694228e-05	Distal Intergenic	10	30900708	30918647	17940	2	119180	uc001ivk.3	47985	LYZL2
chr3	122033638	122034037	400	*	401	*	5.65283328413506	6.2214461562994	4.16225868946111	1.60604441772911	2.94267062398855e-07	7.06912646312728e-05	Distal Intergenic	3	122044011	122060815	16805	1	1475	uc003eex.3	-9974	CSTA
chr14	45483096	45483495	400	*	401	*	5.49114995033995	6.09152763262102	3.81006845802094	1.70305230251973	3.23826378318576e-07	7.61646101596903e-05	Intron (uc001wvv.3/23116, intron 7 of 18)	14	45431416	45543634	112219	1	23116	uc010anc.3	51680	TOGARAM1
chr7	89896524	89896923	400	*	401	*	4.83033794565635	5.47672981393821	2.80903216013999	1.80405432853362	3.27143856945016e-07	7.61646101596903e-05	Intron (uc010leo.2/79846, intron 5 of 6)	7	89908991	89940377	31387	1	79846	uc011khk.2	-12068	CFAP69
chr3	99243140	99243539	400	*	401	*	5.47735908154787	6.03951132736856	4.0221664637543	1.58420171800817	3.27389618803248e-07	7.61646101596903e-05	Distal Intergenic	3	99357440	99422736	65297	1	1295	uc010hpe.2	-113901	COL8A1
chrX	43834706	43835105	400	*	401	*	4.9618789328921	5.6378047254441	2.66264623386677	1.86659529866125	3.42321944617718e-07	7.88089301874603e-05	Distal Intergenic	23	43808024	43832921	24898	2	4693	uc004dga.3	-1785	NDP
chr2	145114963	145115362	400	*	401	*	5.94642184534479	6.45883024243343	4.73361154285404	1.44780048635768	3.6430805439114e-07	8.28868421633055e-05	Distal Intergenic	2	144763318	145090083	326766	2	79712	uc002tvt.2	-24880	GTDC1
chr12	24813207	24813606	400	*	401	*	6.87930610146103	7.41585424739044	5.55498191951989	1.47961609814718	3.67535882177455e-07	8.28868421633055e-05	Distal Intergenic	12	24719898	24737102	17205	2	144360	uc001rgb.1	-76105	LINC00477
chr1	168453354	168453753	400	*	401	*	5.78540674357838	6.3496623803331	4.31880709857204	1.55836855429966	4.43592122682884e-07	9.902858084257e-05	Distal Intergenic	1	168510003	168513235	3233	2	6846	uc001gfn.4	59482	XCL2
chr8	131077145	131077544	400	*	401	*	5.15838500073235	5.74302111101232	3.575379293506	1.65386951381277	4.65757463528527e-07	0.000102322521757171	Intron (uc003ysz.2/50807, intron 21 of 23)	8	131094984	131097014	2031	2	100507117	uc022bbn.1	19470	ASAP1-IT2
chr9	5437511	5437910	400	*	401	*	7.745411022365	8.21321422644476	6.71429277367122	1.28878213418445	4.67606655693149e-07	0.000102322521757171	Promoter	9	5357967	5437937	79971	2	55848	uc003zjc.3	27	PLGRKT
chr2	26716304	26716703	400	*	401	*	4.81171446728928	5.44014120974684	2.93425346738005	1.79598326110833	4.74224744091255e-07	0.000102753343815302	Intron (uc002rhk.3/9381, intron 9 of 46)	2	26680071	26700910	20840	2	9381	uc002rhj.3	-15394	OTOF
chr12	49259261	49259660	400	*	401	*	4.76892665371304	5.40815105192808	2.80695732856113	1.82542275293111	4.80315788967418e-07	0.000103062711184164	Promoter	12	49250916	49259653	8738	2	27289	uc001rsn.3	0	RND1
chr6	43885038	43885437	400	*	401	*	5.07407960071449	5.72385827568035	3.0237565663881	1.80012110256257	5.18210885331012e-07	0.000110124795929814	Intron (uc011dvm.2/100132354, intron 1 of 1)	6	43858765	43905944	47180	1	100132354	uc011dvm.2	26273	LINC01512
chr3	196502203	196502602	400	*	401	*	5.81745176983915	6.41517534089898	4.15345750712243	1.67292921306721	5.34186457931947e-07	0.000112438618159562	Intron (uc003fwy.4/5062, intron 1 of 14)	3	196466728	196559518	92791	1	5062	uc003fwy.4	35475	PAK2
chr15	92485619	92486018	400	*	401	*	5.78232320739462	6.3376617420459	4.36336435521567	1.54340906953754	5.60293190684782e-07	0.000116821130257777	Intron (uc002bqx.2/28232, intron 2 of 9)	15	92397565	92706228	308664	1	28232	uc002bqz.1	88054	SLCO3A1
chr1	65549318	65549717	400	*	401	*	7.48774659463863	7.98156523410356	6.35414685212147	1.34992023891543	6.48917224660308e-07	0.000134034762450631	Distal Intergenic	1	65524117	65524191	75	2	406893	uc001dbx.3	-25127	MIR101-1
chr11	32552131	32552530	400	*	401	*	4.5211562089186	5.20205149947287	2.16876310597609	1.88140137193067	7.01584562803624e-07	0.000140961094750208	Distal Intergenic	11	32605313	32624037	18725	1	10480	uc001mtu.4	-52783	EIF3M
chr6	37018151	37018550	400	*	401	*	7.3160737894294	7.77324080389492	6.32434705709297	1.24875406135242	7.2557511134141e-07	0.000144467887709518	Distal Intergenic	6	36989318	36996391	7074	1	221472	uc003onj.1	28833	FGD2
chr3	182876638	182877037	400	*	401	*	5.48291907518562	6.06334218839769	3.92489698417382	1.63303422530297	7.94107537792586e-07	0.000155338717157214	Intron (uc003flh.4/27074, intron 1 of 5)	3	182840003	182880667	40665	2	27074	uc003flh.4	3630	LAMP3
chr2	61061720	61062119	400	*	401	*	6.08517666374524	6.59335435672585	4.89087051414926	1.39624016390966	8.01258484046985e-07	0.000155338717157214	Distal Intergenic	2	61074895	61108449	33555	2	400957	uc002sal.1	46330	REL-DT
chr16	50698974	50699373	400	*	401	*	6.60014574485989	7.07456644486781	5.54381367419159	1.30132575540575	8.11231833167973e-07	0.000155816928999727	Distal Intergenic	16	50700211	50715264	15054	2	124460	uc002egi.3	15891	SNX20
chr7	36776867	36777266	400	*	401	*	6.95155730711508	7.43753320629443	5.84982325343813	1.31854683992617	8.72144164775947e-07	0.000161313498248941	Distal Intergenic	7	36552549	36764154	211606	2	313	uc022abu.1	-12713	AOAH
chr14	61644955	61645354	400	*	401	*	5.8431311974881	6.40693848296251	4.3789720066104	1.56251636098643	9.24138767485417e-07	0.000166007496011255	Distal Intergenic	14	61654287	62017698	363412	1	5583	uc010tsa.2	-8933	PRKCH
chr11	93257554	93257953	400	*	401	*	6.07632153123593	6.6574019454642	4.5144347054134	1.57304956922804	9.27631747454455e-07	0.000166007496011255	Intron (uc001pds.4/56935, intron 1 of 2)	11	93211639	93276546	64908	2	56935	uc001pds.4	18593	SMCO4
chr11	119380977	119381376	400	*	401	*	6.63450496195653	7.16391167499467	5.34427542508276	1.48917758322544	9.3140262908446e-07	0.000166007496011255	Exon (uc001pwp.2/100499227, exon 4 of 9)	11	119288655	119294246	5592	2	7070	uc001pwr.3	-86731	THY1
chr8	99739497	99739896	400	*	401	*	4.52283783572273	5.20047306897414	2.20555936853815	1.82967391434563	1.05901706851986e-06	0.000185756636756805	Intron (uc003yip.4/6788, intron 4 of 10)	8	99466859	99837909	371051	2	6788	uc003yip.4	98013	STK3
chr6	41196960	41197359	400	*	401	*	6.91840546806561	7.37440092944754	5.93093515156278	1.22006487770423	1.07310948035516e-06	0.000186746398624641	Promoter	6	41196452	41206120	9669	1	285852	uc003oqd.3	508	TREML4
chr7	75638532	75638931	400	*	401	*	5.78414054281314	6.31293054530933	4.49681005761399	1.45951456367889	1.27730116242117e-06	0.000217151023005156	Intron (uc003ueh.3/51657, intron 2 of 5)	7	75625655	75634722	9068	2	51657	uc003uef.3	-3810	STYXL1
chr11	105033700	105034099	400	*	401	*	6.15854992174611	6.72952821096133	4.65476032391777	1.51805094517259	1.32547012100576e-06	0.000223619962933956	Distal Intergenic	11	105008448	105010461	2014	2	59082	uc021qpy.1	-23239	CARD18
chr2	10197562	10197961	400	*	401	*	5.09842341367945	5.68531548860243	3.50182895552155	1.64034663578715	1.3366451963935e-06	0.000223796935496157	3' UTR	2	10184372	10194963	10592	1	8462	uc010yjc.2	13190	KLF11
chr10	89736170	89736569	400	*	401	*	5.50505747121792	6.09896420555381	3.86523283249923	1.60542939245472	1.41187648401936e-06	0.000233374552813074	Distal Intergenic	10	89623195	89728532	105338	1	5728	uc021pvw.1	112975	PTEN
chr9	117767467	117767866	400	*	401	*	5.37495760835234	5.9924844517438	3.57747550159366	1.67057107115513	1.41496719953631e-06	0.000233374552813074	Distal Intergenic	9	117663425	117692875	29451	2	944	uc004bji.2	-74592	TNFSF8
chr1	160616256	160616655	400	*	401	*	6.33483461981425	6.82801070368774	5.20387884693537	1.3202282473017	1.43122318843161e-06	0.000234307138426125	Promoter	1	160579891	160617081	37191	2	6504	uc001fwl.4	426	SLAMF1
chr11	10063544	10063943	400	*	401	*	5.05592237322587	5.64432631489325	3.45013702857184	1.61613093740734	1.54814163850314e-06	0.000249748017171955	Intron (uc001mib.2/81846, intron 3 of 39)	11	9978126	9990092	11967	2	81846	uc001mih.4	-73452	SBF2
chr17	68339708	68340107	400	*	401	*	6.63033716220404	7.1091707179631	5.55687732346062	1.27320722308051	1.57692822173271e-06	0.000252548482815324	Distal Intergenic	17	68165676	68176183	10508	1	3759	uc002jir.3	174032	KCNJ2
chr2	113735541	113735940	400	*	401	*	4.47395690150502	5.11223213946259	2.51964389257243	1.73494540198067	1.65424347485313e-06	0.000263024712501648	Promoter	2	113735606	113743227	7622	1	56300	uc002tio.1	0	IL36G
