seqnames	start	end	width	strand	V4	V5	V6	V7	V8	V9	V10	V11	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	SYMBOL
chr1	184191250	184192397	1148	*	1149	*	6	6.63	3.55	3.08	6.73e-08	3.91e-05	Distal Intergenic	1	184356150	184598155	242006	1	81563	uc001gqv.1	-163753	C1orf21
chr2	57724316	57725538	1223	*	1224	*	5.08	5.76	1.59	4.17	7.55e-08	4.29e-05	Distal Intergenic	2	58134786	58387055	252270	1	7444	uc002rzo.2	-409248	VRK2
chr18	47882640	47884472	1833	*	1834	*	5.69	6.34	2.84	3.5	8.06e-08	4.48e-05	Distal Intergenic	18	47901392	47920538	19147	1	220134	uc002let.3	-16920	SKA1
chr1	9550684	9551879	1196	*	1197	*	5.38	6.04	2.59	3.45	8.73e-08	4.73e-05	Distal Intergenic	1	9599528	9642831	43304	1	84275	uc001apw.3	-47649	SLC25A33
chr3	15852874	15854225	1352	*	1353	*	5.49	6.14	2.7	3.44	8.88e-08	4.73e-05	Intron (uc003caj.1/23243, intron 1 of 27)	3	15708744	15839691	130948	2	23243	uc011avz.1	-13183	ANKRD28
chr2	208904613	208906035	1423	*	1424	*	5.41	6.07	2.42	3.66	9.66e-08	4.99e-05	Distal Intergenic	2	208764765	208890284	125520	2	389072	uc002vcm.2	-14329	PLEKHM3
chr7	139701819	139702962	1144	*	1145	*	5.07	5.74	1.74	4.01	9.77e-08	4.99e-05	Intron (uc003vvh.3/6916, intron 13 of 16)	7	139723549	139763521	39973	2	64761	uc003vvl.1	60559	PARP12
chr1	9170258	9171716	1459	*	1460	*	6.16	6.78	3.88	2.9	1.01e-07	5.02e-05	3' UTR	1	9164476	9189229	24754	2	80045	uc001apq.1	17513	GPR157
chr16	56610561	56611627	1067	*	1068	*	4.96	5.65	1.32	4.33	1.02e-07	5.02e-05	Distal Intergenic	16	56598961	56602869	3909	1	84560	uc002eje.1	11600	MT4
chr7	129650097	129651248	1152	*	1153	*	5.23	5.9	2.12	3.78	1.18e-07	5.45e-05	Distal Intergenic	7	129658126	129680941	22816	2	51530	uc010lma.3	29693	ZC3HC1
chr8	42242626	42243379	754	*	755	*	5.02	5.69	1.81	3.89	1.19e-07	5.45e-05	Distal Intergenic	8	42249279	42263455	14177	1	7419	uc003xpc.3	-5900	VDAC3
chr12	108000820	108001930	1111	*	1112	*	5.27	5.94	2.17	3.77	1.19e-07	5.45e-05	Intron (uc009zut.1/121551, intron 4 of 9)	12	107974634	108053419	78786	1	121551	uc001tml.1	26186	ABTB3
chr6	28983928	28985922	1995	*	1996	*	6.13	6.74	3.88	2.86	1.21e-07	5.45e-05	Distal Intergenic	6	28962594	28973093	10500	2	282890	uc003nlv.2	-10835	ZNF311
chr2	207645947	207646959	1013	*	1014	*	5.65	6.28	3.17	3.11	1.22e-07	5.45e-05	Promoter	2	207647958	207648032	75	1	100423002	uc021vvn.1	-999	MIR3130-2
chr8	145276891	145278165	1275	*	1276	*	6.37	7.01	3.65	3.37	1.38e-07	6.07e-05	Exon (uc011lla.1/727957, exon 13 of 31)	8	145293938	145316843	22906	1	727957	uc003zbl.4	-15773	MROH1
chr12	70294343	70295230	888	*	889	*	5	5.7	1	4.7	1.54e-07	6.58e-05	Distal Intergenic	12	70172754	70216984	44231	1	117177	uc001svt.3	121589	RAB3IP
chr1	203473466	203474539	1074	*	1075	*	5.28	5.94	2.32	3.62	1.61e-07	6.63e-05	Intron (uc001gzu.1/26254, intron 7 of 7)	1	203463271	203478077	14807	1	26254	uc001gzu.1	10195	OPTC
chr16	19386107	19387965	1859	*	1860	*	5.31	5.96	2.5	3.46	1.68e-07	6.63e-05	Distal Intergenic	16	19421861	19510434	88574	1	79838	uc010vaq.2	-33896	TMC5
chr7	24851568	24852610	1043	*	1044	*	5.54	6.18	2.94	3.24	1.69e-07	6.63e-05	Intron (uc003sxd.3/26031, intron 18 of 21)	7	24873706	24903218	29513	2	26031	uc003sxj.1	50608	OSBPL3
chr4	84100978	84102637	1660	*	1661	*	4.99	5.67	1.66	4	1.72e-07	6.63e-05	Distal Intergenic	4	84015307	84035911	20605	2	51316	uc003hod.2	-65067	PLAC8
chr1	42039315	42040750	1436	*	1437	*	5.78	6.41	3.27	3.13	1.74e-07	6.63e-05	Intron (uc001cgy.3/59269, intron 2 of 4)	1	41972036	42050989	78954	2	59269	uc001cgy.3	10239	HIVEP3
chr14	101111675	101112930	1256	*	1257	*	5.36	6.01	2.66	3.35	1.77e-07	6.63e-05	Distal Intergenic	14	101123605	101139081	15477	1	283601	uc001yhr.1	-10675	LINC00523
chr10	26623771	26624943	1173	*	1174	*	6.1	6.75	3.44	3.31	1.79e-07	6.63e-05	Distal Intergenic	10	26727266	26790867	63602	1	54518	uc001isr.3	-102323	APBB1IP
chr1	90452332	90453364	1033	*	1034	*	4.83	5.52	1.22	4.3	1.84e-07	6.63e-05	Exon (uc021opr.1/uc021opr.1, exon 1 of 1)	1	90458824	90460525	1702	2	492303	uc001dno.3	7161	GEMIN8P4
chr20	43947612	43949162	1551	*	1552	*	5.87	6.49	3.59	2.9	1.84e-07	6.63e-05	Distal Intergenic	20	43922548	43937169	14622	2	8785	uc002xnr.1	-10443	MATN4
chr5	131343182	131344342	1161	*	1162	*	4.97	5.66	1.12	4.55	1.84e-07	6.63e-05	Intron (uc003kvx.2/23305, intron 1 of 20)	5	131285667	131347355	61689	2	23305	uc003kvx.2	3013	ACSL6
chr10	79400884	79402241	1358	*	1359	*	5.1	5.76	2.12	3.64	1.89e-07	6.72e-05	Distal Intergenic	10	79395961	79397577	1617	2	3778	uc031pvz.1	-3307	KCNMA1
chr9	34500386	34501230	845	*	846	*	5.06	5.73	1.88	3.85	1.92e-07	6.72e-05	Exon (uc003zum.3/27019, exon 11 of 20)	9	34521040	34523037	1998	2	375704	uc003zun.1	21807	ENHO
chr20	21215926	21217377	1452	*	1453	*	5.3	5.96	2.17	3.79	1.99e-07	6.82e-05	Intron (uc002wsb.3/55857, intron 12 of 13)	20	21283942	21370463	86522	1	22803	uc002wsf.1	-66565	XRN2
chr10	105245056	105245901	846	*	847	*	5.44	6.09	2.7	3.39	2e-07	6.82e-05	Distal Intergenic	10	105232561	105238997	6437	2	119395	uc001kxg.4	-6059	CALHM3
chr9	79318881	79320431	1551	*	1552	*	5.14	5.8	2.22	3.58	2.05e-07	6.84e-05	Promoter	9	79226292	79319015	92724	2	158471	uc004akj.4	0	PRUNE2
chr18	12726620	12727845	1226	*	1227	*	5.98	6.61	3.48	3.13	2.09e-07	6.84e-05	Distal Intergenic	18	12702987	12725739	22753	1	56984	uc002krk.3	23633	PSMG2
chr17	33324500	33325996	1497	*	1498	*	5.69	6.31	3.3	3.01	2.11e-07	6.84e-05	Exon (uc002hij.3/3980, exon 12 of 20)	17	33307549	33321450	13902	1	3980	uc010cth.1	16951	LIG3
chr1	21693991	21695634	1644	*	1645	*	7.18	7.8	4.83	2.97	2.12e-07	6.84e-05	Distal Intergenic	1	21543740	21672034	128295	2	1889	uc001bem.2	-21957	ECE1
chr20	43311938	43314767	2830	*	2831	*	5.93	6.55	3.64	2.9	2.14e-07	6.84e-05	Intron (uc002xml.1/79015, intron 2 of 3)	20	43285092	43300380	15289	2	79015	uc002xmk.4	-11558	LINC01260
chr1	33551005	33552577	1573	*	1574	*	5.27	5.92	2.42	3.51	2.19e-07	6.92e-05	Intron (uc001bwr.3/113451, intron 5 of 11)	1	33547779	33585995	38217	1	113451	uc009vug.3	3226	AZIN2
chr3	59298405	59299784	1380	*	1381	*	5.26	5.93	2.12	3.82	2.37e-07	7.38e-05	Distal Intergenic	3	58873072	59035758	162687	2	200844	uc011bfg.1	-262647	CFAP20DC
chr20	32379841	32380657	817	*	818	*	5.5	6.14	2.74	3.41	2.48e-07	7.65e-05	3' UTR	20	32374894	32380075	5182	1	84905	uc002wzz.3	4947	ZNF341
chr2	146450186	146451221	1036	*	1037	*	5	5.7	0.88	4.83	2.55e-07	7.76e-05	Distal Intergenic	2	147344625	147348558	3934	1	728773	uc002twf.4	-893404	PABPC1P2
chr11	47955523	47957217	1695	*	1696	*	5.58	6.2	3.17	3.03	2.74e-07	8.24e-05	Distal Intergenic	11	48002110	48154266	152157	1	5795	uc001ngo.4	-44893	PTPRJ
chr20	58837427	58838786	1360	*	1361	*	5.95	6.58	3.57	3.01	2.84e-07	8.43e-05	Intron (uc002ybl.3/284757, intron 3 of 4)	20	58713548	59228978	515431	1	284757	uc010gjw.3	123879	MIR646HG
chr15	73992067	73993641	1575	*	1576	*	5.81	6.45	3.2	3.25	2.91e-07	8.53e-05	Intron (uc010bjd.1/80381, intron 1 of 7)	15	73976622	74006859	30238	1	80381	uc010ulb.1	15445	CD276
chr18	53082202	53083308	1107	*	1108	*	4.85	5.53	1.59	3.94	2.94e-07	8.53e-05	Intron (uc010xdw.1/6925, intron 1 of 15)	18	52889562	53089723	200162	2	6925	uc010xdw.1	6415	TCF4
chr6	109508602	109509845	1244	*	1245	*	5.64	6.28	2.97	3.31	3.02e-07	8.68e-05	Distal Intergenic	6	109557817	109591717	33901	1	100996634	uc003pta.2	-47972	NA
chr7	151366620	151367440	821	*	822	*	5.33	5.99	2.22	3.77	3.18e-07	9.01e-05	Intron (uc011kvl.2/51422, intron 2 of 13)	7	151253201	151329344	76144	2	51422	uc003wki.3	-37276	PRKAG2
chr22	30504210	30505645	1436	*	1437	*	7.26	7.89	4.82	3.07	3.21e-07	9.01e-05	Intron (uc003agy.3/150280, intron 5 of 10)	22	30477000	30573062	96063	1	150280	uc031rxm.1	27210	HORMAD2
chr15	51672803	51674385	1583	*	1584	*	5.66	6.29	3.25	3.04	3.28e-07	9.12e-05	Intron (uc010bez.1/342035, intron 1 of 2)	15	51669455	51700209	30755	1	342035	uc002abb.3	3348	GLDN
chr1	44228544	44229734	1191	*	1192	*	4.97	5.64	1.94	3.7	3.39e-07	9.32e-05	Intron (uc009vwu.1/6487, intron 2 of 7)	1	44201904	44396837	194934	1	6487	uc001ckl.4	26640	ST3GAL3
chr5	134886954	134888177	1224	*	1225	*	5.21	5.85	2.46	3.39	3.51e-07	9.53e-05	Distal Intergenic	5	134869972	134871639	1668	2	4762	uc003lax.3	-15315	NEUROG1
chr20	19186038	19187387	1350	*	1351	*	5.8	6.46	3	3.46	3.61e-07	9.71e-05	Distal Intergenic	20	19193290	19703541	510252	1	57419	uc002wrl.3	-5903	SLC24A3
chr16	69320500	69321552	1053	*	1054	*	5.14	5.79	2.32	3.47	3.7e-07	9.81e-05	Intron (uc002ewu.3/6645, intron 5 of 6)	16	69345287	69358946	13660	1	27183	uc002eww.3	-23735	VPS4A
chr8	19265481	19266827	1347	*	1348	*	5.42	6.06	2.74	3.32	3.73e-07	9.81e-05	Exon (uc011kyn.2/55790, exon 9 of 10)	8	19171487	19253729	82243	1	63898	uc003wzc.3	93994	SH2D4A
chr2	70568061	70569472	1412	*	1413	*	5.53	6.16	3.03	3.13	4.14e-07	0.000106	Distal Intergenic	2	70523108	70529220	6113	2	84908	uc010fdp.3	-38841	FAM136A
chr5	147007367	147008400	1034	*	1035	*	4.89	5.57	1.5	4.07	4.15e-07	0.000106	Exon (uc003loq.2/9832, exon 16 of 21)	5	146939557	147041572	102016	1	153469	uc003lop.1	67810	JAKMIP2-AS1
chr17	28134315	28135544	1230	*	1231	*	5.7	6.32	3.39	2.93	4.17e-07	0.000106	Intron (uc002heo.1/85464, intron 1 of 14)	17	28000930	28088408	87479	2	85464	uc002heq.3	-45907	SSH2
chr17	27243097	27243951	855	*	856	*	4.73	5.44	0.22	5.22	4.31e-07	0.000108	Intron (uc010wbb.1/57649, intron 6 of 13)	17	27236236	27252690	16455	2	57649	uc002hdh.1	8739	PHF12
chr19	43950930	43952307	1378	*	1379	*	5.8	6.41	3.57	2.84	4.35e-07	0.000108	Distal Intergenic	19	43964946	43969831	4886	2	27076	uc002owl.1	17524	LYPD3
chr19	17162904	17163989	1086	*	1087	*	5.62	6.25	3.14	3.11	4.39e-07	0.000108	Exon (uc002nfe.3/93323, exon 10 of 11)	19	17160571	17186343	25773	2	93323	uc002nfe.3	22354	HAUS8
chr8	73066973	73068084	1112	*	1113	*	4.93	5.64	0.59	5.06	4.51e-07	0.00011	Distal Intergenic	8	72933486	72987819	54334	2	8989	uc003xza.3	-79154	TRPA1
chr13	51860130	51861450	1321	*	1322	*	5.62	6.24	3.22	3.01	4.57e-07	0.00011	Distal Intergenic	13	51915168	51936239	21072	1	647174	uc001vfh.2	-53718	SERPINE3
chr22	29251457	29252411	955	*	956	*	4.84	5.52	1.32	4.2	4.71e-07	0.000112	Distal Intergenic	22	29279755	29453476	173722	1	84133	uc003aeg.3	-27344	ZNRF3
chr1	21521028	21522844	1817	*	1818	*	6.01	6.61	3.84	2.77	5.04e-07	0.000118	Distal Intergenic	1	21132785	21503381	370597	2	8672	uc001bef.3	-17647	EIF4G3
chr1	109819725	109820981	1257	*	1258	*	5.77	6.39	3.44	2.95	5.06e-07	0.000118	Distal Intergenic	1	109822176	109825041	2866	2	84722	uc001dxb.3	4060	PSRC1
chr10	4374220	4377377	3158	*	3159	*	7.18	7.83	4.45	3.38	5.06e-07	0.000118	Distal Intergenic	10	4698348	4704606	6259	1	338588	uc001ihg.3	-320971	LINC00705
chr21	34499115	34500565	1451	*	1452	*	5.21	5.86	2.5	3.35	5.17e-07	0.000119	Distal Intergenic	21	34537776	34542541	4766	2	728409	uc002yra.4	41976	LINC01548
chr11	129792817	129793925	1109	*	1110	*	5.28	5.92	2.74	3.18	5.29e-07	0.000121	Exon (uc001qfj.3/56980, exon 10 of 18)	11	129784227	129785755	1529	2	56980	uc009zcs.1	-7062	PRDM10
chr9	71807486	71808878	1393	*	1394	*	5.49	6.13	2.91	3.22	5.35e-07	0.000121	Intron (uc011lrs.2/9414, intron 2 of 21)	9	71819927	71870124	50198	1	9414	uc011lru.2	-11049	TJP2
chr1	9348902	9350228	1327	*	1328	*	4.92	5.58	1.94	3.64	5.43e-07	0.000121	Distal Intergenic	1	9352941	9429590	76650	1	80176	uc010oae.2	-2713	SPSB1
chr12	48231013	48233375	2363	*	2364	*	6.27	6.89	3.89	3	5.59e-07	0.000123	Distal Intergenic	12	48176507	48213763	37257	2	51564	uc010slo.2	-17250	HDAC7
chr8	41469870	41470978	1109	*	1110	*	5.45	6.08	2.97	3.11	6.14e-07	0.000133	Exon (uc003xnz.2/137964, exon 8 of 13)	8	41503829	41504875	1047	2	157848	uc003xoa.2	33897	NKX6-3
chr17	37138769	37140270	1502	*	1503	*	5.74	6.35	3.48	2.87	6.18e-07	0.000133	Distal Intergenic	17	37092685	37123655	30971	2	494188	uc002hrc.2	-15114	FBXO47
chr6	24991673	24992850	1178	*	1179	*	5.31	5.96	2.46	3.5	6.31e-07	0.000133	Intron (uc011dju.2/9750, intron 1 of 13)	6	24840351	25042398	202048	2	9750	uc011dju.2	49548	RIPOR2
chr11	43911515	43912471	957	*	958	*	4.66	5.37	0.22	5.15	6.41e-07	0.000134	Intron (uc001mxs.2/221120, intron 6 of 9)	11	43918853	43921424	2572	1	729799	uc010rfk.3	-6382	SEC14L1P1
chr19	40670870	40672073	1204	*	1205	*	5.33	5.96	2.84	3.11	6.43e-07	0.000134	Distal Intergenic	19	40697651	40721482	23832	1	4294	uc002ona.3	-25578	MAP3K10
chr17	53603471	53604523	1053	*	1054	*	5.59	6.2	3.32	2.88	6.58e-07	0.000136	Distal Intergenic	17	53469974	53499341	29368	2	23531	uc002iui.3	-104130	MMD
chr7	22821468	22822900	1433	*	1434	*	5.22	5.86	2.5	3.36	6.99e-07	0.000142	Distal Intergenic	7	22852251	22862471	10221	2	54543	uc003svk.4	39571	TOMM7
chr7	154718894	154720087	1194	*	1195	*	5.28	5.94	2.32	3.62	7.03e-07	0.000142	Promoter	7	154720227	154738560	18334	1	100132707	uc011kvr.2	-140	PAXIP1-AS2
chr21	45394950	45395853	904	*	905	*	5.15	5.8	2.32	3.48	7.1e-07	0.000142	Intron (uc002zdv.3/56894, intron 7 of 9)	21	45379515	45407475	27961	1	56894	uc002zdy.3	15435	AGPAT3
chr15	80859358	80860681	1324	*	1325	*	4.76	5.46	0.88	4.58	7.2e-07	0.000143	Intron (uc002bfr.3/9915, intron 12 of 18)	15	80735305	80890277	154973	1	9915	uc002bfs.3	124053	ARNT2
chr6	20527937	20530006	2070	*	2071	*	6.57	7.17	4.37	2.8	7.3e-07	0.000144	Distal Intergenic	6	20534688	20559903	25216	1	54901	uc003ndb.1	-4682	CDKAL1
chr16	81399699	81400941	1243	*	1244	*	4.99	5.64	2.22	3.42	7.56e-07	0.000147	Intron (uc002fgo.3/8139, intron 9 of 10)	16	81418623	81418698	76	1	100616150	uc021tls.1	-17682	MIR4720
chr15	80747503	80749141	1639	*	1640	*	5.84	6.47	3.37	3.1	7.79e-07	0.000151	Intron (uc002bfq.3/9915, intron 2 of 4)	15	80735305	80890277	154973	1	9915	uc002bfs.3	12198	ARNT2
chr7	25109196	25110229	1034	*	1035	*	5.4	6.04	2.81	3.23	8.15e-07	0.000157	Distal Intergenic	7	25158270	25164980	6711	2	54205	uc003sxl.3	54751	CYCS
chr14	103544303	103545545	1243	*	1244	*	5.72	6.33	3.44	2.89	8.23e-07	0.000157	Distal Intergenic	14	103398716	103523742	125027	2	9578	uc001ymi.1	-20561	CDC42BPB
chr16	27467761	27469302	1542	*	1543	*	5.65	6.27	3.3	2.97	8.65e-07	0.000163	Distal Intergenic	16	27458991	27464714	5724	2	283888	uc002dot.3	-3047	IL21R-AS1
chr10	102097861	102099394	1534	*	1535	*	5.55	6.16	3.22	2.94	8.69e-07	0.000163	Distal Intergenic	10	102106772	102124588	17817	1	6319	uc001kqy.3	-7378	SCD
chr15	74730022	74731945	1924	*	1925	*	6.02	6.62	3.81	2.82	8.82e-07	0.000164	Distal Intergenic	15	74701630	74726299	24670	2	8482	uc010ull.2	-3723	SEMA7A
chr7	22599048	22602189	3142	*	3143	*	6.77	7.36	4.74	2.62	8.87e-07	0.000164	Promoter	7	22602956	22613617	10662	1	100506178	uc003svi.2	-767	STEAP1B-AS1
chr21	46558077	46559170	1094	*	1095	*	4.6	5.31	0.22	5.08	8.99e-07	0.000165	Intron (uc002zgp.2/104, intron 8 of 9)	21	46572523	46596579	24057	1	104	uc011afo.1	-13353	ADARB1
chr19	4139415	4140595	1181	*	1182	*	5.83	6.45	3.48	2.96	9.1e-07	0.000166	Distal Intergenic	19	4153598	4173051	19454	1	84699	uc002lzl.4	-13003	CREB3L3
chr1	89663632	89665063	1432	*	1433	*	4.56	5.26	0.59	4.67	9.31e-07	0.000169	Promoter	1	89646831	89664633	17803	2	115361	uc001dnb.3	0	GBP4
chr17	71251394	71253131	1738	*	1739	*	6.65	7.25	4.46	2.79	9.45e-07	0.000169	Intron (uc010dfk.1/642843, intron 3 of 5)	17	71244588	71258019	13432	2	642843	uc010dfk.1	4888	CPSF4L
chr15	78405286	78406410	1125	*	1126	*	5.4	6.04	2.74	3.3	9.51e-07	0.000169	Intron (uc002bdb.2/10518, intron 2 of 5)	15	78396948	78423877	26930	2	10518	uc002bdb.2	17467	CIB2
